timestamp,service,cpu_percent,memory_usage_bytes,network_rx_bytes_sec,network_tx_bytes_sec
2025-02-07T23:13:06.109427055Z,ipfs9,0.6930463624118304,29052928,13719.71090479846,689.7875237171039
2025-02-07T23:13:08.832287682Z,ipfs13,0.08587655498992523,23515136,111.65982327295244,0.0
2025-02-07T23:13:10.265804736Z,ipfs13,3.0662350010498653,23523328,447.8495895060889,0.0
2025-02-07T23:13:07.648333517Z,ipfs2,0.11573449721697766,21397504,372.70431307162295,0.0
2025-02-07T23:13:09.58974242Z,ipfs2,0.05928689862558442,21397504,108.168972296896,0.0
2025-02-07T23:13:11.145128646Z,ipfs2,3.011338649906004,21417984,1099.4041358169152,96.43895928218554
2025-02-07T23:13:08.530039064Z,ipfs5,0.0955782353965247,26411008,112.03941029349154,0.0
2025-02-07T23:13:10.255345506Z,ipfs5,0.052338541684779395,26406912,340.8091086450751,0.0
2025-02-07T23:13:08.817760356Z,ipfs7,0.09869972614697953,25714688,91.51900427323352,0.0
2025-02-07T23:13:10.091137785Z,ipfs7,0.06431716608671273,25714688,376.95042395142997,0.0
2025-02-07T23:13:08.964262914Z,ipfs11,0.080257318899747,24522752,67.09615084866309,0.0
2025-02-07T23:13:10.130639167Z,ipfs11,4.0934449153232615,24543232,411.5307486344467,0.0
2025-02-07T23:13:08.2244662Z,ipfs6,0.0993580856462226,29474816,96.89835809459069,0.0
2025-02-07T23:13:09.312215688Z,ipfs6,0.055983784007390965,29474816,0.0,0.0
2025-02-07T23:13:11.019675167Z,ipfs6,2.7373994119920817,29487104,1124.4772937579796,56.22386468789899
2025-02-07T23:13:08.994171655Z,ipfs4,0.08330368347156916,26812416,234.35818879469585,0.0
2025-02-07T23:13:10.083631222Z,ipfs4,0.0590200649863235,26812416,440.58524406586747,0.0
2025-02-07T23:13:07.635800699Z,ipfs12,0.11972299229725594,25673728,183.42240285341458,0.0
2025-02-07T23:13:08.766944235Z,ipfs12,0.07213935626233264,25673728,0.0,0.0
